,negative,neutral,positive,Wishful,Logical
1 : Adjunct Professor Will Steffen,0,0,0,0,0
2 : Agus Santoso,1,0,1,0,0
3 : Anthony Richardson,11,1,0,0,0
4 : Associate Professor Katrin Meissner,3,0,0,0,0
5 : Associate Professor Kevin Walsh,4,1,0,0,0
6 : Dr Ailie Gallant,9,0,4,1,0
7 : Dr Alex Sen Gupta,4,0,1,0,1
8 : Dr Anna Harper,3,0,3,0,1
9 : Dr Ariaan Purich,4,0,1,0,1
10 : Dr Carlo Buontempo,0,4,1,0,0
11 : Dr Elvira Poloczanska,1,0,0,0,0
12 : Dr Helen McGregor,5,1,0,0,0
13 : Dr Jennie Mallela,1,0,1,1,0
14 : Dr Jess Melbourne,4,0,3,0,1
15 : Dr Jessica Carilli,8,0,2,1,0
16 : Dr Jim Salinger,1,0,1,0,1
17 : Dr Joanne S Johnson,2,1,4,1,0
18 : Dr John Fasullo,2,0,2,0,0
19 : Dr Linden Ashcroft,7,0,2,1,1
20 : Dr Lindsey Nicholson,12,0,0,0,0
21 : Dr Pieter Tans,1,0,0,0,0
22 : Dr Roger Bodman,2,0,1,0,0
23 : Dr Ruth Mottram,3,2,2,1,0
24 : Dr Sarah Perkins,3,1,0,0,0
25 : Dr Wenju Cai,0,0,0,0,0
26 : Dr Will Hobbs,0,0,0,0,0
27 : Emeritus Professor Tony McMichael,3,0,1,1,0
28 : Kevin Trenberth,1,0,2,0,1
29 : Michael Mann,9,1,4,0,1
30 : Professor Andrew Pitman,3,0,3,0,0
31 : Professor Brendan Mackey,1,0,0,0,0
32 : Professor Corey Bradshaw,4,0,0,0,0
33 : Professor David Griggs,6,0,2,0,0
34 : Professor Donald J,1,0,1,1,1
35 : Professor Emeritus Neville Nicholls,0,0,1,0,0
36 : Professor Gabi Hegerl,2,0,3,0,0
37 : Professor Greta Pecl,6,2,2,0,1
38 : Professor James Byrne,6,0,1,0,0
39 : Professor Johan Rockström,5,0,1,0,1
40 : Professor Lesley Hughes,0,0,0,0,0
41 : Professor Mark Maslin,0,0,2,1,0
42 : Professor Mat Collins,1,0,0,0,0
43 : Professor Michael Raupach,6,0,3,0,1
44 : Professor Nathan Bindoff,0,0,0,0,0
45 : Professor Peter B deMenoccel,1,0,3,1,0
46 : Professor Peter Cox,2,0,3,1,0
47 : Professor Pramod Aggarwal,1,0,0,0,0
48 : Professor Stefan Rahmstorf,1,0,0,0,0
49 : Professor Steven Sherwood,1,0,0,0,0
50 : Richard Somerville,0,3,1,0,0
